,result,move,moveEnd,game,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
0,Draw,0,50,55845,R,N,B,Q,K,B,N,R,P,P,P,None,P,P,P,P,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,p,p,p,p,p,p,p,p,r,n,b,q,k,b,n,r,0
1,Draw,1,49,55845,R,N,B,Q,K,B,N,R,P,P,P,None,P,P,P,P,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,p,None,None,None,None,None,None,None,None,None,None,None,None,p,p,p,None,p,p,p,p,r,n,b,q,k,b,n,r,1
2,Draw,2,48,55845,R,N,B,Q,K,B,N,R,P,P,None,None,P,P,P,P,None,None,None,None,None,None,None,None,None,None,P,P,None,None,None,None,None,None,None,p,None,None,None,None,None,None,None,None,None,None,None,None,p,p,p,None,p,p,p,p,r,n,b,q,k,b,n,r,0
3,Draw,3,47,55845,R,N,B,Q,K,B,N,R,P,P,None,None,P,P,P,P,None,None,None,None,None,None,None,None,None,None,P,P,None,None,None,None,None,None,None,p,None,None,None,None,None,None,None,None,p,None,None,None,p,p,p,None,None,p,p,p,r,n,b,q,k,b,n,r,1
4,Draw,4,46,55845,R,None,B,Q,K,B,N,R,P,P,None,None,P,P,P,P,None,None,N,None,None,None,None,None,None,None,P,P,None,None,None,None,None,None,None,p,None,None,None,None,None,None,None,None,p,None,None,None,p,p,p,None,None,p,p,p,r,n,b,q,k,b,n,r,0
5,Draw,5,45,55845,R,None,B,Q,K,B,N,R,P,P,None,None,P,P,P,P,None,None,N,None,None,None,None,None,None,None,P,P,None,None,None,None,None,None,None,p,None,None,None,None,None,None,None,None,p,n,None,None,p,p,p,None,None,p,p,p,r,n,b,q,k,b,None,r,1
6,Draw,6,44,55845,R,None,B,Q,K,B,N,R,P,P,None,None,P,None,P,P,None,None,N,None,None,P,None,None,None,None,P,P,None,None,None,None,None,None,None,p,None,None,None,None,None,None,None,None,p,n,None,None,p,p,p,None,None,p,p,p,r,n,b,q,k,b,None,r,0
7,Draw,7,43,55845,R,None,B,Q,K,B,N,R,P,P,None,None,P,None,P,P,None,None,N,None,None,P,None,None,None,None,P,P,None,None,None,None,None,None,None,p,None,None,None,None,None,None,n,None,p,n,None,None,p,p,p,None,None,p,p,p,r,None,b,q,k,b,None,r,1
8,Draw,8,42,55845,R,None,B,Q,K,B,N,R,P,P,None,None,None,None,P,P,None,None,N,None,P,P,None,None,None,None,P,P,None,None,None,None,None,None,None,p,None,None,None,None,None,None,n,None,p,n,None,None,p,p,p,None,None,p,p,p,r,None,b,q,k,b,None,r,0
9,Draw,9,41,55845,R,None,B,Q,K,B,N,R,P,P,None,None,None,None,P,P,None,None,N,None,P,P,None,None,None,None,P,P,None,None,None,None,None,None,None,p,None,None,None,None,None,None,n,None,p,n,None,None,p,p,p,None,b,p,p,p,r,None,b,q,k,None,None,r,1
