,result,move,moveEnd,game,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
0,White,0,119,79937,R,N,B,Q,K,B,N,R,P,P,P,P,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,p,p,p,p,p,p,p,p,r,n,b,q,k,b,n,r,0
1,White,1,118,79937,R,N,B,Q,K,B,N,R,P,P,P,P,None,P,P,P,None,None,None,None,None,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,p,None,None,None,None,None,None,None,None,None,None,None,p,p,p,p,None,p,p,p,r,n,b,q,k,b,n,r,1
2,White,2,117,79937,R,N,B,Q,K,B,None,R,P,P,P,P,None,P,P,P,None,None,None,None,None,N,None,None,None,None,None,None,P,None,None,None,None,None,None,None,p,None,None,None,None,None,None,None,None,None,None,None,p,p,p,p,None,p,p,p,r,n,b,q,k,b,n,r,0
3,White,3,116,79937,R,N,B,Q,K,B,None,R,P,P,P,P,None,P,P,P,None,None,None,None,None,N,None,None,None,None,None,None,P,None,None,None,None,None,None,None,p,None,None,None,None,None,n,None,None,None,None,None,p,p,p,p,None,p,p,p,r,None,b,q,k,b,n,r,1
4,White,4,115,79937,R,N,B,Q,K,None,None,R,P,P,P,P,None,P,P,P,None,None,None,None,None,N,None,None,None,None,None,None,P,None,None,None,None,B,None,None,p,None,None,None,None,None,n,None,None,None,None,None,p,p,p,p,None,p,p,p,r,None,b,q,k,b,n,r,0
5,White,5,114,79937,R,N,B,Q,K,None,None,R,P,P,P,P,None,P,P,P,None,None,None,None,None,N,None,None,None,None,None,None,P,None,None,None,None,B,None,None,p,None,None,None,None,None,n,p,None,None,None,None,p,p,p,None,None,p,p,p,r,None,b,q,k,b,n,r,1
6,White,6,113,79937,R,N,B,Q,K,None,None,R,P,P,P,None,None,P,P,P,None,None,None,None,None,N,None,None,None,None,None,P,P,None,None,None,None,B,None,None,p,None,None,None,None,None,n,p,None,None,None,None,p,p,p,None,None,p,p,p,r,None,b,q,k,b,n,r,0
7,White,7,112,79937,R,N,B,Q,K,None,None,R,P,P,P,None,None,P,P,P,None,None,None,None,None,N,None,None,None,None,None,P,P,None,None,None,None,B,None,None,p,None,None,None,None,None,n,p,None,None,None,None,p,p,p,b,None,p,p,p,r,None,None,q,k,b,n,r,1
8,White,8,111,79937,R,None,B,Q,K,None,None,R,P,P,P,None,None,P,P,P,None,None,N,None,None,N,None,None,None,None,None,P,P,None,None,None,None,B,None,None,p,None,None,None,None,None,n,p,None,None,None,None,p,p,p,b,None,p,p,p,r,None,None,q,k,b,n,r,0
9,White,9,110,79937,R,None,B,Q,K,None,None,R,P,P,P,None,None,P,P,P,None,None,N,None,None,N,None,None,None,None,None,P,P,None,None,None,None,B,None,None,p,None,None,None,None,None,n,p,None,None,None,None,p,p,p,b,n,p,p,p,r,None,None,q,k,b,None,r,1
10,White,10,109,79937,R,None,B,Q,K,None,None,R,P,P,P,None,None,P,P,P,None,None,N,None,None,N,None,None,None,None,B,P,P,None,None,None,None,None,None,None,p,None,None,None,None,None,n,p,None,None,None,None,p,p,p,b,n,p,p,p,r,None,None,q,k,b,None,r,0
11,White,11,108,79937,R,None,B,Q,K,None,None,R,P,P,P,None,None,P,P,P,None,None,N,None,None,N,None,None,None,None,B,n,P,None,None,None,None,None,None,None,p,None,None,None,None,None,None,p,None,None,None,None,p,p,p,b,n,p,p,p,r,None,None,q,k,b,None,r,1
12,White,12,107,79937,R,None,B,Q,K,None,None,R,P,P,P,None,None,P,P,P,None,None,N,None,None,None,None,None,None,None,B,N,P,None,None,None,None,None,None,None,p,None,None,None,None,None,None,p,None,None,None,None,p,p,p,b,n,p,p,p,r,None,None,q,k,b,None,r,0
13,White,13,106,79937,R,None,B,Q,K,None,None,R,P,P,P,None,None,P,P,P,None,None,N,None,None,None,None,None,None,None,B,p,P,None,None,None,None,None,None,None,None,None,None,None,None,None,None,p,None,None,None,None,p,p,p,b,n,p,p,p,r,None,None,q,k,b,None,r,1
14,White,14,105,79937,R,None,B,None,K,None,None,R,P,P,P,None,None,P,P,P,None,None,N,None,None,None,None,None,None,None,B,Q,P,None,None,None,None,None,None,None,None,None,None,None,None,None,None,p,None,None,None,None,p,p,p,b,n,p,p,p,r,None,None,q,k,b,None,r,0
15,White,15,104,79937,R,None,B,None,K,None,None,R,P,P,P,None,None,P,P,P,None,None,N,None,None,None,None,None,None,None,B,Q,P,None,None,None,None,None,None,None,None,None,None,None,None,None,n,p,None,None,None,None,p,p,p,b,None,p,p,p,r,None,None,q,k,b,None,r,1
16,White,16,103,79937,R,None,B,None,K,None,None,R,P,P,P,None,None,P,P,P,None,None,N,None,Q,None,None,None,None,None,B,None,P,None,None,None,None,None,None,None,None,None,None,None,None,None,n,p,None,None,None,None,p,p,p,b,None,p,p,p,r,None,None,q,k,b,None,r,0
17,White,17,102,79937,R,None,B,None,K,None,None,R,P,P,P,None,None,P,P,P,None,None,N,None,Q,None,None,None,None,None,B,None,P,None,None,None,None,None,None,None,n,None,None,None,None,None,None,p,None,None,None,None,p,p,p,b,None,p,p,p,r,None,None,q,k,b,None,r,1
18,White,18,101,79937,R,None,B,None,K,None,None,R,P,P,P,None,None,P,P,P,None,B,N,None,Q,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,n,None,None,None,None,None,None,p,None,None,None,None,p,p,p,b,None,p,p,p,r,None,None,q,k,b,None,r,0
19,White,19,100,79937,R,None,B,None,K,None,None,R,P,P,P,None,None,P,P,P,None,B,N,None,Q,None,None,None,None,None,None,None,P,None,None,None,None,None,None,None,n,None,None,None,None,None,p,p,None,None,None,None,p,p,None,b,None,p,p,p,r,None,None,q,k,b,None,r,1
